Asset,total_pnl,folds_active,folds_capped
USDCAD_merged,2301.87,25,5
AUDCAD_merged,2250.36,22,1
AUDNZD_merged,1756.52,20,2
CADCHF_merged,1635.15,25,2
EURCAD_merged,1591.36,23,4
USDCHF_merged,1469.9,27,5
GBPAUD_merged,1457.86,28,7
AUDUSD_merged,1360.13,28,5
NZDUSD_merged,1230.29,28,7
CADJPY_merged,1227.96,23,4
EURAUD_merged,1118.87,22,4
EURUSD_merged,1068.86,22,5
EURNZD_merged,1015.5,25,3
AUDCHF_merged,940.89,22,1
GBPJPY_merged,655.48,24,6
EURJPY_merged,594.21,23,5
GBPCHF_merged,150.5,17,5
GBPUSD_merged,-109.74,23,5
GBPNZD_merged,-162.12,27,6
NZDCHF_merged,-272.79,25,4
CHFJPY_merged,-334.59,25,7
NZDJPY_merged,-342.76,25,4
AUDJPY_merged,-363.17,23,8
EURCHF_merged,-443.65,23,6
GBPCAD_merged,-503.84,24,6
EURGBP_merged,-740.05,23,6
NZDCAD_merged,-1428.97,21,4
USDJPY_merged,-1992.13,25,9
