Fold,Net_Profit_USD,Circuit_Breakers_Hit,Cut_Short,Stop_Reason
1,1378.78,7,True,dead_seed
2,-16.3,7,True,dead_seed
3,-39.17,0,False,
4,-890.86,3,True,fold_brake
5,405.61,9,True,dead_seed
6,4562.06,9,True,dead_seed
7,1748.95,8,True,dead_seed
8,-350.97,3,False,
9,-396.45,8,True,dead_seed
10,258.26,10,True,dead_seed
11,-891.66,3,True,fold_brake
12,-421.01,4,True,dead_seed
13,-111.96,1,True,dead_seed
14,1676.89,1,False,
15,666.09,4,False,
16,-357.58,1,False,
17,-763.44,6,False,
18,2192.58,2,False,
19,-463.87,6,False,
20,90.06,7,True,dead_seed
21,7874.64,10,True,dead_seed
22,1001.66,8,True,dead_seed
23,1630.6,9,True,dead_seed
24,597.71,10,True,dead_seed
25,-1112.14,7,True,fold_brake
26,-1101.28,10,True,fold_brake
27,-636.92,6,False,
28,0.0,0,False,
29,482.41,3,False,
30,-340.24,0,False,
31,-353.25,0,False,
32,-580.99,2,False,
33,221.32,0,False,
34,-348.0,5,False,
35,-1106.32,7,True,fold_brake
36,-386.54,10,True,dead_seed
37,1110.44,5,False,
38,-97.24,0,False,
