Fold,Net_Profit_USD,Circuit_Breakers_Hit,Cut_Short,Stop_Reason
1,397.84,6,False,
2,518.75,4,False,
3,100.57,0,False,
4,-241.96,4,False,
5,-906.31,2,True,fold_brake
6,0.0,0,False,
7,-120.96,1,True,dead_seed
8,72.15,8,True,dead_seed
9,-106.21,4,True,dead_seed
10,820.15,9,True,dead_seed
11,-904.81,4,True,fold_brake
12,-92.59,1,True,dead_seed
13,-337.89,4,True,dead_seed
14,2846.56,8,True,dead_seed
15,-51.18,0,False,
16,-550.82,0,False,
17,1646.21,2,False,
18,409.63,5,False,
19,-494.91,6,False,
20,7809.02,10,True,dead_seed
21,-651.88,10,True,dead_seed
22,3935.61,10,True,dead_seed
23,-416.16,7,True,dead_seed
24,-994.84,7,True,dead_seed
25,0.0,0,False,
26,424.91,0,False,
27,104.72,1,False,
28,-42.73,0,False,
29,23.92,1,False,
30,222.62,0,False,
31,352.63,1,False,
32,546.52,7,True,dead_seed
33,-1090.21,5,True,fold_brake
34,1088.69,10,True,dead_seed
35,4825.72,10,True,dead_seed
36,574.67,4,False,
