Asset,total_pnl,folds_active,folds_capped
AUDCHF_merged,2964.58,25,0
AUDUSD_merged,2818.3,23,3
GBPJPY_merged,1614.04,28,5
NZDCHF_merged,1417.84,20,0
EURGBP_merged,1283.51,23,3
USDCAD_merged,1125.93,20,3
GBPCAD_merged,1082.24,26,3
GBPAUD_merged,992.66,27,6
AUDCAD_merged,938.42,21,3
EURNZD_merged,611.83,23,2
GBPUSD_merged,489.88,26,4
GBPNZD_merged,469.22,19,4
AUDNZD_merged,173.53,20,3
CADJPY_merged,167.46,26,5
EURUSD_merged,116.67,26,5
EURAUD_merged,88.83,23,8
NZDJPY_merged,67.56,25,5
USDCHF_merged,8.79,27,6
EURCAD_merged,-88.5,22,5
NZDUSD_merged,-323.62,24,6
CHFJPY_merged,-331.59,21,3
CADCHF_merged,-474.66,27,3
EURJPY_merged,-701.78,22,4
AUDJPY_merged,-851.14,20,5
GBPCHF_merged,-971.64,27,6
NZDCAD_merged,-1070.79,20,4
EURCHF_merged,-1527.88,26,10
USDJPY_merged,-2860.42,26,13
