Asset,total_pnl,folds_active,folds_capped
EURAUD_merged,2719.19,39,4
CADCHF_merged,2361.87,30,5
GBPJPY_merged,2252.8,29,4
EURNZD_merged,2204.73,30,1
AUDCAD_merged,1682.35,26,3
AUDCHF_merged,1604.31,27,3
GBPAUD_merged,1490.33,32,4
AUDJPY_merged,1317.4,35,3
GBPCHF_merged,1299.37,33,2
AUDUSD_merged,889.75,30,4
NZDCHF_merged,879.0,28,3
EURGBP_merged,823.44,31,7
GBPCAD_merged,631.53,38,7
NZDUSD_merged,419.05,34,4
USDCAD_merged,269.51,31,3
EURCAD_merged,255.4,31,4
EURJPY_merged,243.47,33,6
CADJPY_merged,216.39,40,5
GBPNZD_merged,151.48,30,5
USDCHF_merged,126.71,34,8
USDJPY_merged,95.8,35,10
AUDNZD_merged,34.22,30,3
CHFJPY_merged,-92.51,28,5
NZDJPY_merged,-392.63,32,5
GBPUSD_merged,-572.05,35,5
NZDCAD_merged,-1563.33,32,8
EURCHF_merged,-1583.65,32,7
EURUSD_merged,-1874.97,31,7
