Fold,Net_Profit_USD,Circuit_Breakers_Hit,Cut_Short,Stop_Reason
1,-33.99,0,False,
2,22.09,0,False,
3,-283.0,2,False,
4,520.58,3,True,dead_seed
5,-383.24,3,True,dead_seed
6,0.0,0,False,
7,0.0,0,False,
8,164.86,0,False,
9,249.47,0,False,
10,-559.8,0,False,
11,-650.82,5,False,
12,-940.29,2,True,fold_brake
13,-546.69,2,False,
14,-12.3,0,False,
15,27.18,1,True,dead_seed
16,-87.16,0,False,
17,80.99,0,False,
18,817.48,0,False,
19,-900.03,9,True,fold_brake
20,1094.22,4,True,dead_seed
21,723.9,2,True,dead_seed
22,830.69,4,False,
23,5405.02,10,True,dead_seed
24,2360.55,9,True,dead_seed
25,533.34,5,False,
26,-229.85,0,False,
27,939.45,5,False,
28,-89.58,8,True,dead_seed
29,1663.44,6,True,dead_seed
30,185.67,7,True,dead_seed
31,403.8,8,True,dead_seed
32,331.26,7,True,dead_seed
33,-906.87,7,True,fold_brake
34,-191.19,2,True,dead_seed
35,-51.5,1,False,
36,1711.94,2,False,
37,-119.98,1,False,
38,232.7,0,False,
39,2143.23,2,False,
40,-330.23,7,True,dead_seed
41,-400.19,5,False,
42,361.73,6,False,
43,2245.35,10,True,dead_seed
44,1448.78,10,True,dead_seed
45,-981.91,5,False,
46,-703.97,0,False,
47,0.0,0,False,
48,-71.02,4,False,
49,-108.87,0,False,
50,-107.14,0,False,
51,149.49,0,False,
52,724.81,3,False,
53,153.67,8,True,dead_seed
54,-565.6,3,False,
55,-445.79,10,True,dead_seed
56,64.28,1,False,
