Asset,total_pnl,folds_active,folds_capped
GBPJPY_merged,3318.28,24,3
EURCAD_merged,1708.23,23,3
AUDJPY_merged,1581.59,21,4
NZDCHF_merged,1259.23,19,3
AUDCAD_merged,1151.79,23,2
EURNZD_merged,993.95,19,2
EURGBP_merged,885.7,24,4
CADJPY_merged,787.71,23,5
GBPNZD_merged,697.79,22,4
GBPCHF_merged,646.61,20,4
EURAUD_merged,505.44,23,4
AUDCHF_merged,476.31,20,4
GBPAUD_merged,357.52,19,4
GBPCAD_merged,347.28,20,4
AUDUSD_merged,261.27,25,3
USDCHF_merged,88.76,21,4
AUDNZD_merged,69.88,17,2
USDCAD_merged,53.83,22,6
CADCHF_merged,23.12,20,3
USDJPY_merged,-540.29,25,7
GBPUSD_merged,-546.55,25,7
NZDUSD_merged,-631.34,24,8
EURUSD_merged,-683.71,25,3
NZDJPY_merged,-790.2,19,3
CHFJPY_merged,-810.18,21,4
EURCHF_merged,-1248.9,18,4
EURJPY_merged,-1371.12,21,7
NZDCAD_merged,-1748.22,17,7
