Fold,Net_Profit_USD,Circuit_Breakers_Hit,Cut_Short,Stop_Reason
1,1378.78,7,True,dead_seed
2,-16.3,7,True,dead_seed
3,-39.17,0,False,
4,-887.99,3,False,
5,-473.15,7,True,dead_seed
6,244.56,1,True,dead_seed
7,1530.92,7,True,dead_seed
8,-752.72,6,True,dead_seed
9,1294.94,6,False,
10,-396.22,0,False,
11,1183.89,1,False,
12,1443.21,9,True,dead_seed
13,-705.27,3,False,
14,-195.71,1,False,
15,384.85,1,False,
16,-170.93,2,False,
17,-185.06,10,True,dead_seed
18,-526.93,5,False,
19,2602.58,10,True,dead_seed
20,-400.78,10,True,dead_seed
21,1663.4,10,True,dead_seed
22,1844.45,10,True,dead_seed
23,-443.49,5,False,
24,-1397.5,7,True,dead_seed
25,0.0,0,False,
26,-100.83,0,False,
27,107.78,0,False,
28,-398.76,0,False,
29,-149.62,0,False,
30,-220.64,0,False,
31,215.58,1,False,
32,893.49,6,False,
33,-532.15,6,False,
34,48.56,3,False,
