Asset,total_pnl,folds_active,folds_capped
GBPJPY_merged,4608.53,30,6
AUDUSD_merged,4377.71,30,4
EURCAD_merged,3898.31,23,3
AUDCHF_merged,3798.67,22,2
GBPCAD_merged,2742.06,25,4
NZDCHF_merged,2595.99,20,2
AUDCAD_merged,2206.06,21,3
EURJPY_merged,2191.22,31,2
EURAUD_merged,2126.19,23,2
EURNZD_merged,1731.43,24,3
CADCHF_merged,1159.82,24,7
USDCHF_merged,1085.46,23,5
AUDJPY_merged,1054.19,28,11
AUDNZD_merged,846.06,24,4
EURGBP_merged,718.99,22,6
GBPUSD_merged,688.11,23,4
NZDUSD_merged,620.51,22,5
GBPNZD_merged,618.6,22,6
CADJPY_merged,456.03,25,6
USDCAD_merged,345.74,18,5
EURCHF_merged,280.71,20,7
NZDCAD_merged,271.73,17,2
GBPCHF_merged,-33.62,26,6
NZDJPY_merged,-149.38,26,4
GBPAUD_merged,-173.77,21,6
EURUSD_merged,-428.09,28,7
CHFJPY_merged,-804.35,24,4
USDJPY_merged,-1215.57,31,11
