Fold,Net_Profit_USD,Circuit_Breakers_Hit,Cut_Short,Stop_Reason
1,8896.74,10,True,dead_seed
2,35.81,9,True,dead_seed
3,-1271.73,10,True,fold_brake
4,3036.03,10,True,dead_seed
5,15.43,8,True,dead_seed
6,1370.22,9,True,dead_seed
7,0.0,0,False,
8,7553.58,10,True,dead_seed
9,2143.74,9,True,dead_seed
10,0.0,0,False,
11,0.0,0,False,
12,1047.94,4,True,dead_seed
13,-559.4,5,True,dead_seed
14,-96.8,0,False,
15,0.0,0,False,
16,2725.21,6,True,dead_seed
17,1187.36,9,True,dead_seed
18,611.88,5,True,dead_seed
19,-26.5,6,True,dead_seed
20,-880.55,9,True,fold_brake
21,-900.25,7,True,fold_brake
22,282.16,1,True,dead_seed
23,0.0,0,False,
24,916.35,10,True,dead_seed
25,2932.93,10,True,dead_seed
26,1534.09,10,True,dead_seed
27,-1259.2,10,True,fold_brake
28,317.42,10,True,dead_seed
29,39.75,8,True,dead_seed
30,1028.14,9,True,dead_seed
31,-602.7,9,True,dead_seed
32,1275.06,10,True,dead_seed
33,3582.45,10,True,dead_seed
34,-323.67,10,True,dead_seed
35,570.34,8,True,dead_seed
36,-1097.5,7,True,fold_brake
37,-36.67,4,True,dead_seed
38,0.0,0,False,
39,2961.7,0,False,
40,-198.66,1,False,
41,-252.13,1,False,
42,-64.68,0,False,
43,14.75,0,False,
44,-148.78,3,False,
45,-1059.71,6,False,
46,508.6,4,True,dead_seed
47,-191.25,6,True,dead_seed
48,-0.15,0,False,
