Asset,total_pnl,folds_active,folds_capped
AUDUSD_merged,5346.33,31,4
EURCAD_merged,4943.49,28,3
GBPJPY_merged,4727.13,33,6
AUDCHF_merged,3582.37,24,2
AUDCAD_merged,2756.13,22,2
EURAUD_merged,2644.79,23,3
EURJPY_merged,2554.67,32,1
GBPCAD_merged,2495.11,26,4
NZDJPY_merged,2271.91,28,4
NZDCHF_merged,2168.52,21,3
EURNZD_merged,1537.3,24,3
AUDNZD_merged,1482.06,26,3
GBPUSD_merged,1411.44,28,5
CADCHF_merged,1289.26,26,7
AUDJPY_merged,1045.67,28,12
EURUSD_merged,950.12,29,7
EURGBP_merged,886.37,24,6
USDCHF_merged,879.88,26,6
GBPNZD_merged,719.74,26,5
NZDUSD_merged,632.82,26,7
GBPCHF_merged,329.07,27,6
EURCHF_merged,304.37,23,7
USDCAD_merged,238.52,18,5
NZDCAD_merged,32.06,22,4
GBPAUD_merged,-74.1,26,6
CADJPY_merged,-84.49,27,7
CHFJPY_merged,-311.35,26,4
USDJPY_merged,-578.17,33,11
