Fold,Net_Profit_USD,Circuit_Breakers_Hit,Cut_Short,Stop_Reason
1,-135.09,0,False,
2,0.0,0,False,
3,-205.55,0,False,
4,0.0,0,False,
5,0.0,0,False,
6,0.0,0,False,
7,0.0,0,False,
8,-32.55,0,False,
9,-77.11,0,False,
10,557.87,1,False,
11,-564.66,3,False,
12,-85.1,0,False,
13,-96.05,0,False,
14,0.0,0,False,
15,0.0,0,False,
16,0.0,0,False,
17,0.0,0,False,
18,0.0,0,False,
19,0.0,0,False,
20,2046.58,9,True,dead_seed
21,16069.52,10,False,
22,-1253.35,10,True,fold_brake
23,3036.03,10,True,dead_seed
24,15.43,8,True,dead_seed
25,1370.22,9,True,dead_seed
26,0.0,0,False,
27,7553.58,10,True,dead_seed
28,2143.74,9,True,dead_seed
29,0.0,0,False,
30,0.0,0,False,
31,1047.94,4,True,dead_seed
32,-559.4,5,True,dead_seed
33,-96.8,0,False,
34,0.0,0,False,
35,2725.21,6,True,dead_seed
36,1187.36,9,True,dead_seed
37,611.88,5,True,dead_seed
38,-26.5,6,True,dead_seed
39,-880.55,9,True,fold_brake
40,-900.25,7,True,fold_brake
41,282.16,1,True,dead_seed
42,0.0,0,False,
43,916.35,10,True,dead_seed
44,2932.93,10,True,dead_seed
45,1534.09,10,True,dead_seed
46,-1259.2,10,True,fold_brake
47,317.42,10,True,dead_seed
48,39.75,8,True,dead_seed
49,1028.14,9,True,dead_seed
50,-602.7,9,True,dead_seed
51,1275.06,10,True,dead_seed
52,3582.45,10,True,dead_seed
53,-323.67,10,True,dead_seed
54,570.34,8,True,dead_seed
55,-1097.5,7,True,fold_brake
56,-36.67,4,True,dead_seed
57,0.0,0,False,
58,2961.7,0,False,
59,-198.66,1,False,
60,-252.13,1,False,
61,-64.68,0,False,
62,14.75,0,False,
63,-148.78,3,False,
64,-1059.71,6,False,
65,508.6,4,True,dead_seed
66,-191.25,6,True,dead_seed
67,-0.15,0,False,
