Asset,total_pnl,folds_active,folds_capped
EURCAD_merged,2863.16,23,3
AUDJPY_merged,2605.72,24,5
EURAUD_merged,2491.58,22,4
GBPJPY_merged,2101.29,29,4
GBPNZD_merged,2056.51,22,3
NZDCHF_merged,1951.0,16,4
GBPAUD_merged,1844.33,20,3
AUDCHF_merged,1738.14,19,2
GBPCAD_merged,1582.43,25,1
GBPCHF_merged,1404.76,23,4
EURNZD_merged,1308.46,22,4
AUDUSD_merged,1124.06,22,3
AUDCAD_merged,1102.21,19,4
EURJPY_merged,1053.87,30,6
CADJPY_merged,942.64,26,6
NZDUSD_merged,853.02,25,3
CADCHF_merged,829.14,21,5
AUDNZD_merged,594.74,18,3
EURGBP_merged,558.84,21,5
USDCHF_merged,479.24,28,8
NZDCAD_merged,-18.81,11,2
USDCAD_merged,-243.04,26,6
EURUSD_merged,-337.5,23,7
NZDJPY_merged,-364.42,23,6
GBPUSD_merged,-421.13,22,6
USDJPY_merged,-743.57,30,7
CHFJPY_merged,-888.61,21,4
EURCHF_merged,-2031.56,17,10
