Fold,Net_Profit_USD,Circuit_Breakers_Hit,Cut_Short,Stop_Reason
1,9553.59,10,True,dead_seed
2,803.88,10,True,dead_seed
3,-1246.9,6,True,fold_brake
4,948.16,10,True,dead_seed
5,-1240.36,8,True,fold_brake
6,0.0,0,False,
7,0.0,0,False,
8,382.5,9,True,dead_seed
9,-886.89,7,True,fold_brake
10,0.0,0,False,
11,47.81,6,True,dead_seed
12,420.17,7,True,dead_seed
13,1190.5,9,True,dead_seed
14,-334.64,3,True,dead_seed
15,0.0,0,False,
16,0.0,0,False,
17,4758.07,9,True,dead_seed
18,1312.37,9,True,dead_seed
19,-711.47,4,True,dead_seed
20,-676.27,8,True,dead_seed
21,2907.46,9,True,dead_seed
22,0.0,0,False,
23,1526.7,8,True,dead_seed
24,2385.74,10,True,dead_seed
25,826.83,10,True,dead_seed
26,-364.09,10,True,dead_seed
27,-108.0,8,True,dead_seed
28,2708.41,10,True,dead_seed
29,-1261.35,8,True,fold_brake
30,1196.99,10,True,dead_seed
31,1963.54,10,True,dead_seed
32,95.34,10,True,dead_seed
33,-1182.93,10,True,dead_seed
34,-906.22,2,True,fold_brake
35,0.0,0,False,
36,0.0,0,False,
37,653.24,0,False,
38,-102.12,0,False,
39,-273.77,0,False,
40,-71.55,0,False,
41,19.54,3,False,
42,437.74,10,True,dead_seed
43,472.17,9,True,dead_seed
44,-899.29,8,True,fold_brake
45,891.48,5,True,dead_seed
46,-696.63,2,False,
47,-103.26,0,False,
