Asset,total_pnl,folds_active,folds_capped
GBPJPY_merged,2543.03,25,2
CADJPY_merged,1870.75,25,2
USDCAD_merged,1436.86,24,5
EURCAD_merged,1347.47,23,2
EURJPY_merged,1268.5,23,4
AUDUSD_merged,1181.73,19,1
GBPAUD_merged,909.16,23,5
AUDCHF_merged,615.72,18,2
AUDCAD_merged,559.46,23,4
EURAUD_merged,313.57,24,3
NZDUSD_merged,296.88,22,4
NZDJPY_merged,277.9,18,2
USDJPY_merged,234.56,26,8
GBPNZD_merged,55.59,20,3
EURNZD_merged,-193.63,23,5
EURGBP_merged,-238.37,20,3
EURUSD_merged,-373.82,21,4
NZDCHF_merged,-389.88,18,2
GBPCAD_merged,-409.08,22,4
AUDJPY_merged,-496.14,21,5
GBPCHF_merged,-526.51,20,4
USDCHF_merged,-554.52,21,5
NZDCAD_merged,-743.07,18,3
CADCHF_merged,-827.91,20,6
AUDNZD_merged,-915.13,18,6
GBPUSD_merged,-920.9,27,5
EURCHF_merged,-1153.04,15,6
CHFJPY_merged,-1562.69,24,8
