Fold,Net_Profit_USD,Circuit_Breakers_Hit,Cut_Short,Stop_Reason
1,-338.29,5,False,
2,-190.08,7,True,dead_seed
3,432.04,0,False,
4,719.18,5,False,
5,-879.05,7,True,dead_seed
6,976.84,7,True,dead_seed
7,1054.83,5,False,
8,1468.99,6,True,dead_seed
9,-1082.75,5,False,
10,-176.34,1,True,dead_seed
11,-47.68,4,False,
12,832.84,6,False,
13,799.3,2,False,
14,-568.4,1,False,
15,275.1,2,False,
16,2110.29,8,True,dead_seed
17,-737.48,9,True,dead_seed
18,-284.21,5,False,
19,2360.85,8,True,dead_seed
20,-892.62,8,True,dead_seed
21,-249.89,7,True,dead_seed
22,-911.67,3,False,
23,0.0,0,False,
24,50.26,0,False,
25,3.38,1,False,
26,-312.37,0,False,
27,-72.75,0,False,
28,1738.17,0,False,
29,133.42,3,False,
30,-1244.61,5,True,fold_brake
31,-539.54,2,False,
32,-740.62,4,False,
33,-80.66,0,False,
