Asset,total_pnl,folds_active,folds_capped
CADCHF_merged,576.61,14,0
AUDCHF_merged,532.32,14,0
AUDUSD_merged,494.6,12,0
GBPAUD_merged,285.08,12,0
USDCAD_merged,194.58,16,1
AUDJPY_merged,184.4,15,0
CADJPY_merged,173.32,15,0
NZDCHF_merged,162.09,7,0
NZDJPY_merged,147.1,15,0
GBPUSD_merged,101.46,12,0
GBPJPY_merged,90.27,15,0
AUDNZD_merged,82.31,11,0
NZDUSD_merged,79.91,13,1
USDCHF_merged,57.22,16,0
EURJPY_merged,42.27,14,0
EURCAD_merged,31.96,14,0
EURNZD_merged,-13.29,8,0
GBPCAD_merged,-21.24,9,0
GBPCHF_merged,-43.98,9,0
AUDCAD_merged,-76.44,11,0
NZDCAD_merged,-101.49,7,0
EURAUD_merged,-109.35,9,0
EURGBP_merged,-122.33,12,0
GBPNZD_merged,-125.8,6,0
CHFJPY_merged,-241.0,13,0
USDJPY_merged,-264.02,16,0
EURCHF_merged,-281.12,14,0
EURUSD_merged,-352.17,10,0
