Fold,Net_Profit_USD,Circuit_Breakers_Hit,Cut_Short,Stop_Reason
1,-81.4,1,True,dead_seed
2,-113.65,1,True,dead_seed
3,6.42,1,True,dead_seed
4,-86.0,1,True,dead_seed
5,-164.85,1,True,dead_seed
6,0.0,0,False,
7,-90.7,0,False,
8,-134.97,1,True,dead_seed
9,102.5,1,True,dead_seed
10,362.25,0,False,
11,-15.78,1,True,dead_seed
12,-43.12,0,False,
13,0.0,0,False,
14,0.0,0,False,
15,77.92,0,False,
16,-127.7,1,True,dead_seed
17,-16.76,0,False,
18,-168.33,1,True,dead_seed
19,-39.58,0,False,
20,-148.96,1,True,dead_seed
21,-152.02,0,False,
22,1947.79,1,True,dead_seed
23,-176.44,1,True,dead_seed
24,-54.98,1,True,dead_seed
25,50.13,1,True,dead_seed
26,-108.68,1,True,dead_seed
27,-149.36,0,False,
28,0.0,0,False,
29,0.0,0,False,
30,-122.65,1,True,dead_seed
31,-136.06,0,False,
32,-66.79,0,False,
33,0.0,0,False,
34,73.67,0,False,
35,19.14,1,True,dead_seed
36,609.39,1,True,dead_seed
37,-38.79,0,False,
38,9.11,1,True,dead_seed
39,99.45,1,True,dead_seed
40,-208.19,1,True,dead_seed
41,564.0,1,True,dead_seed
42,7.27,0,False,
