Asset,Cluster_ID
UNH,0
LMT,0
ZC=F,0
USDCHF=X,1
CADCHF=X,1
AUDCHF=X,1
GBPCHF=X,1
NZDCHF=X,1
NKE,1
JPM,1
GS,1
HD,1
V,1
TSLA,1
^DJI,1
AAPL,1
MA,1
BAC,1
BA,1
SBUX,1
CAT,1
^NDX,1
^GSPC,1
^RUT,1
^N225,1
CVX,1
^VIX,2
UNI-USD,2
XRP-USD,2
ADA-USD,2
SOL-USD,2
NZDUSD=X,3
AUDUSD=X,3
GBPCAD=X,3
NZDCAD=X,3
GBPUSD=X,3
EURUSD=X,3
EURAUD=X,4
EURGBP=X,4
USDCAD=X,4
EURNZD=X,4
EURCAD=X,4
GBPNZD=X,4
AUDNZD=X,4
GBPAUD=X,4
AMD,5
QCOM,5
DIS,5
META,5
MSFT,5
AMZN,5
GOOGL,5
NFLX,5
PEP,6
PFE,6
INTC,6
WMT,6
JNJ,6
KO,6
^FCHI,7
AUDCAD=X,7
XOM,7
^IBEX,7
^HSI,7
^STOXX50E,7
^FTSE,7
HG=F,7
^GDAXI,7
^AXJO,7
AUDJPY=X,8
SB=F,8
EURCHF=X,8
NZDJPY=X,8
EURJPY=X,8
CADJPY=X,8
CHFJPY=X,8
GBPJPY=X,8
NG=F,8
USDJPY=X,8
NVDA,9
BZ=F,9
CL=F,9
LTC-USD,9
ZW=F,9
BCH-USD,9
PA=F,10
SI=F,10
GC=F,10
PL=F,10
IBM,11
BTC-USD,11
ETH-USD,11
BNB-USD,11
DOT-USD,11
LINK-USD,11
KC=F,11
AVAX-USD,11
ATOM-USD,11
DOGE-USD,11
NEAR-USD,11
