experiment,data_dir,span,universe,assets_traded,seed_band,net_profit,cagr_pct,sharpe,sortino,profit_factor,win_rate,n_trades,max_dd_abs,max_dd_pct,max_dd_days,n_folds,profitable_folds_pct,best_fold,worst_fold,median_fold,seed_cb_hits,fold_brake_hits,dead_seed_hits,dynamic_shifts,cash_folds,asset_cap_hits
FF1_Main_2020-2026_28A_HistData,HistData_H1,2020-03-31..2026-03-31,28,28,42..51,15131.88,21.41,0.81,1.254,1.198,48.98,3248,6808.87,22.36,698,38,42.1,7874.64,-1112.14,-68.21,191,5,15,20,1,136
FF2_SeedShift52_2020-2026_28A_HistData,HistData_H1,2020-03-31..2026-03-31,28,28,52..61,19717.44,25.77,0.993,1.124,1.304,52.18,2913,2130.89,18.22,106,36,52.8,7809.02,-1090.21,48.04,151,3,15,18,2,114
FF2_SeedShift62_2020-2026_28A_HistData,HistData_H1,2020-03-31..2026-03-31,28,28,62..71,7229.25,12.14,0.523,0.684,1.105,48.14,2964,5712.32,30.11,699,38,44.7,4857.77,-1244.13,-57.34,181,7,13,20,0,127
FF3_Extended_2017-2026_28A_HistData,HistData_H1,2017-01-01..2026-03-31,28,28,42..51,15888.97,12.71,0.643,0.754,1.187,49.97,3796,3257.6,30.81,702,56,50.0,5405.02,-981.91,11.04,189,3,18,21,3,135
FF4_SingleSeed_2020-2026_28A_HistData,HistData_H1,2020-03-31..2026-03-31,28,28,42..42,1483.29,2.96,0.372,0.345,1.122,48.24,483,1056.04,10.09,756,42,31.0,1947.79,-208.19,-27.77,23,0,23,23,6,2
FF4_NoHMM_2020-2026_28A_HistData,HistData_H1,2020-03-31..2026-03-31,28,28,42..51,35617.34,38.03,1.174,2.405,1.488,52.88,3317,3024.03,14.68,41,48,50.0,8896.74,-1271.73,7.37,273,5,28,33,6,137
FF4_NoNeighborTest_2020-2026_28A_HistData,HistData_H1,2020-03-31..2026-03-31,28,28,42..51,3606.51,6.7,0.351,0.391,1.053,48.52,2842,3650.56,21.2,775,33,42.4,2360.85,-1244.61,-72.75,126,1,10,11,1,113
FF4_NoFoldBrake_2020-2026_28A_HistData,HistData_H1,2020-03-31..2026-03-31,28,28,42..51,6843.79,11.6,0.515,0.574,1.115,49.1,2617,3724.41,22.48,706,34,41.2,2602.58,-1397.5,-70.0,144,0,13,13,1,118
FF4_NoHMM_Extended_2017-2026_28A_HistData,HistData_H1,2017-01-01..2026-03-31,28,28,42..51,44181.04,23.69,1.03,1.53,1.555,53.79,3558,2513.67,11.94,161,67,37.3,16069.52,-1259.2,0.0,277,5,27,32,17,143
FF4_NoHMM_SeedShift52_2020-2026_28A_HistData,HistData_H1,2020-03-31..2026-03-31,28,28,52..61,24436.51,29.75,0.997,1.823,1.356,50.87,3041,3510.65,16.43,560,47,46.8,9553.59,-1261.35,0.0,267,6,26,32,8,128
